Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2023-01-01 09:24:45," 1 Legs #1",56m,"Squat (Barbell)",1,45.0,8,0,0,"","",
2023-01-01 09:24:45," 1 Legs #1",56m,"Squat (Barbell)",2,135.0,8,0,0,,,
2023-01-01 09:24:45," 1 Legs #1",56m,"Squat (Barbell)",3,155.0,5,0,0,,,
2023-01-01 09:24:45," 1 Legs #1",56m,"Squat (Barbell)",4,155.0,5,0,0,,,
2023-01-01 09:24:45," 1 Legs #1",56m,"Squat (Barbell)",5,155.0,5,0,0,,,
2023-01-01 09:24:45," 1 Legs #1",56m,"Hip Thrust (Barbell)",1,160.0,10,0,0,"",,
2023-01-01 09:24:45," 1 Legs #1",56m,"Hip Thrust (Barbell)",2,160.0,10,0,0,,,
2023-01-01 09:24:45," 1 Legs #1",56m,"Hip Thrust (Barbell)",3,160.0,10,0,0,,,
2023-01-01 09:24:45," 1 Legs #1",56m,"Lying Leg Curl (Machine)",1,65.0,12,0,0,"",,
2023-01-01 09:24:45," 1 Legs #1",56m,"Lying Leg Curl (Machine)",2,65.0,12,0,0,,,
2023-01-01 09:24:45," 1 Legs #1",56m,"Lying Leg Curl (Machine)",3,65.0,12,0,0,,,
2023-01-01 09:24:45," 1 Legs #1",56m,"Standing Calf Raise (Smith Machine)",1,140.0,15,0,0,"",,
2023-01-01 09:24:45," 1 Legs #1",56m,"Standing Calf Raise (Smith Machine)",2,140.0,15,0,0,,,
2023-01-01 09:24:45," 1 Legs #1",56m,"Standing Calf Raise (Smith Machine)",3,140.0,15,0,0,,,
2023-01-02 09:12:47,"2 Push #1",1h 2m,"Bench press Backup ",1,45.0,12,0,0,"","",
2023-01-02 09:12:47,"2 Push #1",1h 2m,"Bench press Backup ",2,95.0,8,0,0,,,
2023-01-02 09:12:47,"2 Push #1",1h 2m,"Bench press Backup ",3,115.0,5,0,0,,,
2023-01-02 09:12:47,"2 Push #1",1h 2m,"Bench press Backup ",4,115.0,5,0,0,,,
2023-01-02 09:12:47,"2 Push #1",1h 2m,"Bench press Backup ",5,120.0,6,0,0,,,
2023-01-02 09:12:47,"2 Push #1",1h 2m,"Overhead Press (Barbell)",1,70.0,6,0,0,"",,
2023-01-02 09:12:47,"2 Push #1",1h 2m,"Overhead Press (Barbell)",2,70.0,6,0,0,,,
2023-01-02 09:12:47,"2 Push #1",1h 2m,"Overhead Press (Barbell)",3,70.0,6,0,0,,,
2023-01-02 09:12:47,"2 Push #1",1h 2m,"Chest Dip",1,0.0,10,0,0,"",,
2023-01-02 09:12:47,"2 Push #1",1h 2m,"Chest Dip",2,0.0,10,0,0,,,
2023-01-02 09:12:47,"2 Push #1",1h 2m,"Chest Dip",3,10.0,10,0,0,,,
2023-01-02 09:12:47,"2 Push #1",1h 2m,"Lateral Raise (Dumbbell)",1,30.0,8,0,0,"",,
2023-01-02 09:12:47,"2 Push #1",1h 2m,"Lateral Raise (Dumbbell)",2,30.0,8,0,0,,,
2023-01-02 09:12:47,"2 Push #1",1h 2m,"Lateral Raise (Dumbbell)",3,30.0,8,0,0,,,
2023-01-02 09:12:47,"2 Push #1",1h 2m,"Chest Fly",1,110.0,12,0,0,"",,
2023-01-02 09:12:47,"2 Push #1",1h 2m,"Chest Fly",2,110.0,12,0,0,,,
2023-01-02 09:12:47,"2 Push #1",1h 2m,"Chest Fly",3,110.0,12,0,0,,,
2023-01-02 09:12:47,"2 Push #1",1h 2m,"Zzzdump2",1,120.0,12,0,0,"",,
2023-01-02 09:12:47,"2 Push #1",1h 2m,"Zzzdump2",2,120.0,12,0,0,,,
2023-01-03 09:51:15,"3 Pull #1",1h 5m,"Pull Up",1,0.0,8,0,0,"","",
2023-01-03 09:51:15,"3 Pull #1",1h 5m,"Pull Up",2,0.0,7,0,0,,,
2023-01-03 09:51:15,"3 Pull #1",1h 5m,"Pull Up",3,0.0,7,0,0,,,
2023-01-03 09:51:15,"3 Pull #1",1h 5m,"Hammer Curl (Dumbbell)",1,50.0,8,0,0,"",,
2023-01-03 09:51:15,"3 Pull #1",1h 5m,"Hammer Curl (Dumbbell)",2,50.0,8,0,0,,,
2023-01-03 09:51:15,"3 Pull #1",1h 5m,"Hammer Curl (Dumbbell)",3,50.0,8,0,0,,,
2023-01-03 09:51:15,"3 Pull #1",1h 5m,"Shrug (Dumbbell)",1,50.0,12,0,0,"",,
2023-01-03 09:51:15,"3 Pull #1",1h 5m,"T Bar Row",1,45.0,12,0,0,"",,
2023-01-03 09:51:15,"3 Pull #1",1h 5m,"T Bar Row",2,45.0,12,0,0,,,
2023-01-03 09:51:15,"3 Pull #1",1h 5m,"T Bar Row",3,35.0,12,0,0,,,
2023-01-03 09:51:15,"3 Pull #1",1h 5m,"T Bar Row",4,35.0,12,0,0,,,
2023-01-03 09:51:15,"3 Pull #1",1h 5m,"Reverse Fly (Machine)",1,90.0,5,0,0,"",,
2023-01-03 09:51:15,"3 Pull #1",1h 5m,"Reverse Fly (Machine)",2,50.0,20,0,0,,,
2023-01-03 09:51:15,"3 Pull #1",1h 5m,"Reverse Fly (Machine)",3,50.0,20,0,0,,,
2023-01-03 09:51:15,"3 Pull #1",1h 5m,"Row - Elbows Out ",1,74.99999999999999,11,0,0,"",,
2023-01-03 09:51:15,"3 Pull #1",1h 5m,"Row - Elbows Out ",2,74.99999999999999,12,0,0,,,
2023-01-03 09:51:15,"3 Pull #1",1h 5m,"Row - Elbows Out ",3,74.99999999999999,12,0,0,,,
2023-01-03 09:51:15,"3 Pull #1",1h 5m,"Single Arm Cable Curl",1,30.0,12,0,0,"",,
2023-01-03 09:51:15,"3 Pull #1",1h 5m,"Single Arm Cable Curl",2,30.0,12,0,0,,,
2023-01-03 09:51:15,"3 Pull #1",1h 5m,"Single Arm Cable Curl",3,30.0,12,0,0,,,
2023-01-03 09:51:15,"3 Pull #1",1h 5m,"Single Arm Cable Curl",4,30.0,12,0,0,,,
2023-01-03 09:51:15,"3 Pull #1",1h 5m,"Single Arm Cable Curl",5,30.0,12,0,0,,,
2023-01-03 09:51:15,"3 Pull #1",1h 5m,"Single Arm Cable Curl",6,30.0,12,0,0,,,
2023-01-04 09:41:14,"4 Legs #2",1h 16m,"Deadlift Old Data ",1,185.00000000000003,6,0,0,"","",
2023-01-04 09:41:14,"4 Legs #2",1h 16m,"Deadlift Old Data ",2,225.0,6,0,0,,,
2023-01-04 09:41:14,"4 Legs #2",1h 16m,"Deadlift Old Data ",3,225.0,5,0,0,,,
2023-01-04 09:41:14,"4 Legs #2",1h 16m,"Deadlift Old Data ",4,135.0,8,0,0,,,
2023-01-04 09:41:14,"4 Legs #2",1h 16m,"Romanian Deadlift (Barbell)",1,95.0,8,0,0,"",,
2023-01-04 09:41:14,"4 Legs #2",1h 16m,"Romanian Deadlift (Barbell)",2,105.0,8,0,0,,,
2023-01-04 09:41:14,"4 Legs #2",1h 16m,"Romanian Deadlift (Barbell)",3,105.0,8,0,0,,,
2023-01-04 09:41:14,"4 Legs #2",1h 16m,"Leg Press OLD",1,270.0,8,0,0,"",,
2023-01-04 09:41:14,"4 Legs #2",1h 16m,"Leg Press OLD",2,270.0,9,0,0,,,
2023-01-04 09:41:14,"4 Legs #2",1h 16m,"Leg Press OLD",3,270.0,12,0,0,,,
2023-01-04 09:41:14,"4 Legs #2",1h 16m,"Leg Press OLD",4,270.0,10,0,0,,,
2023-01-04 09:41:14,"4 Legs #2",1h 16m,"Hip Abductor (Machine)",1,65.0,15,0,0,"",,
2023-01-04 09:41:14,"4 Legs #2",1h 16m,"Hip Abductor (Machine)",2,65.0,15,0,0,,,
2023-01-04 09:41:14,"4 Legs #2",1h 16m,"Hip Abductor (Machine)",3,65.0,15,0,0,,,
2023-01-04 09:41:14,"4 Legs #2",1h 16m,"Seated Calf Raise (Machine)",1,190.0,16,0,0,"",,
2023-01-04 09:41:14,"4 Legs #2",1h 16m,"Seated Calf Raise (Machine)",2,200.0,16,0,0,,,
2023-01-04 09:41:14,"4 Legs #2",1h 16m,"Seated Calf Raise (Machine)",3,200.0,15,0,0,,,
2023-01-06 09:38:55,"5 Push #2",1h 20m,"Incline Bench Press (Barbell)",1,45.0,12,0,0,"","Day",
2023-01-06 09:38:55,"5 Push #2",1h 20m,"Incline Bench Press (Barbell)",2,105.0,8,0,0,,,
2023-01-06 09:38:55,"5 Push #2",1h 20m,"Incline Bench Press (Barbell)",3,115.0,6,0,0,,,
2023-01-06 09:38:55,"5 Push #2",1h 20m,"Incline Bench Press (Barbell)",4,115.0,5,0,0,,,
2023-01-06 09:38:55,"5 Push #2",1h 20m,"Incline Bench Press (Barbell)",5,115.0,5,0,0,,,
2023-01-06 09:38:55,"5 Push #2",1h 20m,"Seated Overhead Press (Dumbbell)",1,50.0,9,0,0,"3x 8-10 RPE7",,
2023-01-06 09:38:55,"5 Push #2",1h 20m,"Seated Overhead Press (Dumbbell)",2,50.0,10,0,0,,,
2023-01-06 09:38:55,"5 Push #2",1h 20m,"Seated Overhead Press (Dumbbell)",3,50.0,10,0,0,,,
2023-01-06 09:38:55,"5 Push #2",1h 20m,"Cable Low Chest Thing ",1,40.0,15,0,0,"",,
2023-01-06 09:38:55,"5 Push #2",1h 20m,"Cable Low Chest Thing ",2,40.0,14,0,0,,,
2023-01-06 09:38:55,"5 Push #2",1h 20m,"Cable Low Chest Thing ",3,80.0,15,0,0,,,
2023-01-06 09:38:55,"5 Push #2",1h 20m,"Cable Low Chest Thing ",4,80.0,13,0,0,,,
2023-01-06 09:38:55,"5 Push #2",1h 20m,"Lateral Raise (Cable)",1,20.0,8,0,0,"",,
2023-01-06 09:38:55,"5 Push #2",1h 20m,"Lateral Raise (Cable)",2,20.0,8,0,0,,,
2023-01-06 09:38:55,"5 Push #2",1h 20m,"Lateral Raise (Cable)",3,20.0,8,0,0,,,
2023-01-06 09:38:55,"5 Push #2",1h 20m,"Lateral Raise (Cable)",4,20.0,8,0,0,,,
2023-01-06 09:38:55,"5 Push #2",1h 20m,"Lateral Raise (Cable)",5,20.0,6,0,0,,,
2023-01-06 09:38:55,"5 Push #2",1h 20m,"Lateral Raise (Cable)",6,20.0,6,0,0,,,
2023-01-06 09:38:55,"5 Push #2",1h 20m,"Cable Kickback",1,20.0,12,0,0,"",,
2023-01-06 09:38:55,"5 Push #2",1h 20m,"Cable Kickback",2,20.0,10,0,0,,,
2023-01-06 09:38:55,"5 Push #2",1h 20m,"Cable Kickback",3,10.0,15,0,0,,,
2023-01-06 09:38:55,"5 Push #2",1h 20m,"Cable Kickback",4,10.0,15,0,0,,,
2023-01-06 09:38:55,"5 Push #2",1h 20m,"Cable Kickback",5,10.0,15,0,0,,,
2023-01-06 09:38:55,"5 Push #2",1h 20m,"Cable Kickback",6,10.0,15,0,0,,,
2023-01-06 09:38:55,"5 Push #2",1h 20m,"Zzzdump2",1,120.0,12,0,0,"",,
2023-01-06 09:38:55,"5 Push #2",1h 20m,"Zzzdump2",2,120.0,12,0,0,,,
2023-01-08 09:07:40,"6 Pull #2",55m,"Chin Up",1,0.0,8,0,0,"","",
2023-01-08 09:07:40,"6 Pull #2",55m,"Chin Up",2,0.0,8,0,0,,,
2023-01-08 09:07:40,"6 Pull #2",55m,"Chin Up",3,0.0,8,0,0,,,
2023-01-08 09:07:40,"6 Pull #2",55m,"Lat Pulldown Neutral grip",1,70.0,15,0,0,"",,
2023-01-08 09:07:40,"6 Pull #2",55m,"Lat Pulldown Neutral grip",2,80.0,12,0,0,,,
2023-01-08 09:07:40,"6 Pull #2",55m,"Lat Pulldown Neutral grip",3,80.0,13,0,0,,,
2023-01-08 09:07:40,"6 Pull #2",55m,"Row Machine Back Up ",1,74.99999999999999,10,0,0,"",,
2023-01-08 09:07:40,"6 Pull #2",55m,"Row Machine Back Up ",2,74.99999999999999,10,0,0,,,
2023-01-08 09:07:40,"6 Pull #2",55m,"Row Machine Back Up ",3,74.99999999999999,12,0,0,,,
2023-01-08 09:07:40,"6 Pull #2",55m,"Pullover (Machine)",1,70.0,13,0,0,"",,
2023-01-08 09:07:40,"6 Pull #2",55m,"Pullover (Machine)",2,70.0,13,0,0,,,
2023-01-08 09:07:40,"6 Pull #2",55m,"Pullover (Machine)",3,70.0,13,0,0,,,
2023-01-08 09:07:40,"6 Pull #2",55m,"Supinated EZ Bar Curl",1,20.0,13,0,0,"",,
2023-01-08 09:07:40,"6 Pull #2",55m,"Supinated EZ Bar Curl",2,20.0,14,0,0,,,
2023-01-08 09:07:40,"6 Pull #2",55m,"Supinated EZ Bar Curl",3,20.0,13,0,0,,,
2023-01-08 09:07:40,"6 Pull #2",55m,"Reverse Fly (Cable)",1,60.0,13,0,0,"",,
2023-01-08 09:07:40,"6 Pull #2",55m,"Reverse Fly (Cable)",2,60.0,13,0,0,,,
2023-01-08 09:07:40,"6 Pull #2",55m,"Reverse Fly (Cable)",3,60.0,14,0,0,,,
2023-01-09 09:03:28," 1 Legs #1",59m,"Squat (Barbell)",1,45.0,8,0,0,"","",
2023-01-09 09:03:28," 1 Legs #1",59m,"Squat (Barbell)",2,135.0,8,0,0,,,
2023-01-09 09:03:28," 1 Legs #1",59m,"Squat (Barbell)",3,155.0,5,0,0,,,
2023-01-09 09:03:28," 1 Legs #1",59m,"Squat (Barbell)",4,160.0,5,0,0,,,
2023-01-09 09:03:28," 1 Legs #1",59m,"Squat (Barbell)",5,160.0,5,0,0,,,
2023-01-09 09:03:28," 1 Legs #1",59m,"Hip Thrust (Barbell)",1,160.0,10,0,0,"",,
2023-01-09 09:03:28," 1 Legs #1",59m,"Hip Thrust (Barbell)",2,160.0,10,0,0,,,
2023-01-09 09:03:28," 1 Legs #1",59m,"Hip Thrust (Barbell)",3,160.0,10,0,0,,,
2023-01-09 09:03:28," 1 Legs #1",59m,"Lying Leg Curl (Machine)",1,65.0,12,0,0,"",,
2023-01-09 09:03:28," 1 Legs #1",59m,"Lying Leg Curl (Machine)",2,65.0,12,0,0,,,
2023-01-09 09:03:28," 1 Legs #1",59m,"Lying Leg Curl (Machine)",3,65.0,12,0,0,,,
2023-01-09 09:03:28," 1 Legs #1",59m,"Standing Calf Raise (Smith Machine)",1,149.99999999999997,15,0,0,"",,
2023-01-09 09:03:28," 1 Legs #1",59m,"Standing Calf Raise (Smith Machine)",2,149.99999999999997,15,0,0,,,
2023-01-09 09:03:28," 1 Legs #1",59m,"Standing Calf Raise (Smith Machine)",3,149.99999999999997,15,0,0,,,
2023-01-10 11:56:20,"2 Push #1",1h 6m,"Bench press Backup ",1,45.0,12,0,0,"","",
2023-01-10 11:56:20,"2 Push #1",1h 6m,"Bench press Backup ",2,95.0,8,0,0,,,
2023-01-10 11:56:20,"2 Push #1",1h 6m,"Bench press Backup ",3,120.0,5,0,0,,,
2023-01-10 11:56:20,"2 Push #1",1h 6m,"Bench press Backup ",4,125.0,5,0,0,,,
2023-01-10 11:56:20,"2 Push #1",1h 6m,"Bench press Backup ",5,125.0,6,0,0,,,
2023-01-10 11:56:20,"2 Push #1",1h 6m,"Overhead Press (Barbell)",1,70.0,6,0,0,"",,
2023-01-10 11:56:20,"2 Push #1",1h 6m,"Overhead Press (Barbell)",2,70.0,7,0,0,,,
2023-01-10 11:56:20,"2 Push #1",1h 6m,"Overhead Press (Barbell)",3,70.0,6,0,0,,,
2023-01-10 11:56:20,"2 Push #1",1h 6m,"Chest Dip",1,10.0,8,0,0,"",,
2023-01-10 11:56:20,"2 Push #1",1h 6m,"Chest Dip",2,10.0,10,0,0,,,
2023-01-10 11:56:20,"2 Push #1",1h 6m,"Chest Dip",3,10.0,8,0,0,,,
